, Rewards, QoS violation,,
Episode: 154 ,-26,0.01565, Action type: [1 0] ,
Episode: 155 ,-25,0.01556, Action type: [0, 1] 
Episode: 156 ,-26,0.01565, Action type: [2 0] ,
Episode: 157 ,-27,0.01565, Action type: [2, 1] 
Episode: 158 ,-28,0.01567, Action type: [1 2] ,
Episode: 159 ,-27,0.01565, Action type: [2, 0] 
Episode: 160 ,-26,0.01563, Action type: [1, 0] 
Episode: 161 ,-25,0.01554, Action type: [0, 2] 
Episode: 162 ,-26,0.01556, Action type: [0, 2] 
Episode: 163 ,-27,0.01556, Action type: [0, 2] 
Episode: 164 ,-28,0.01556, Action type: [0, 2] 
Episode: 165 ,-29,0.01558, Action type: [2, 1] 
Episode: 166 ,-30,0.01565, Action type: [2, 0] 
Episode: 167 ,-31,0.01565, Action type: [2, 0] 
Episode: 168 ,-32,0.01565, Action type: [2, 0] 
Episode: 169 ,-31,0.01563, Action type: [1, 0] 
Episode: 170 ,-30,0.01554, Action type: [0, 2] 
Episode: 171 ,-31,0.01556, Action type: [0, 2] 
Episode: 172 ,-32,0.01556, Action type: [0, 2] 
Episode: 173 ,-33,0.01556, Action type: [0, 2] 
Episode: 174 ,-34,0.01558, Action type: [2, 0] 
Episode: 175 ,-33,0.01556, Action type: [2, 0] 
Episode: 176 ,-34,0.01556, Action type: [2, 1] 
Episode: 177 ,-35,0.01565, Action type: [1 0] ,
Episode: 178 ,-34,0.01556, Action type: [0, 2] 
Episode: 179 ,-35,0.01556, Action type: [0, 2] 
Episode: 180 ,-36,0.01556, Action type: [0 2] ,
Episode: 181 ,-37,0.01558, Action type: [1, 0] 
Episode: 182 ,-36,0.01549, Action type: [1 0] ,
Episode: 183 ,-35,0.01545, Action type: [0, 1] 
Episode: 184 ,-36,0.01549, Action type: [0, 1] 
Episode: 185 ,-37,0.01558, Action type: [0, 1] 
Episode: 186 ,-38,0.01567, Action type: [0, 1] 
Episode: 187 ,-39,0.01571, Action type: [2, 0] 
Episode: 188 ,-38,0.01569, Action type: [1, 0] 
Episode: 189 ,-37,0.01565, Action type: [1, 0] 
Episode: 190 ,-36,0.01556, Action type: [0, 2] 
Episode: 191 ,-37,0.01558, Action type: [0, 2] 
Episode: 192 ,-38,0.01558, Action type: [2, 0] 
Episode: 193 ,-39,0.01558, Action type: [2, 0] 
Episode: 194 ,-38,0.01556, Action type: [2, 0] 
Episode: 195 ,-39,0.01556, Action type: [2 2] ,
Episode: 196 ,-40,0.01556, Action type: [1, 2] 
Episode: 197 ,-39,0.01546, Action type: [0, 2] 
Episode: 198 ,-40,0.01548, Action type: [0, 2] 
Episode: 199 ,-41,0.01548, Action type: [1 2] ,
Episode: 200 ,-40,0.01545, Action type: [2, 0] 
Episode: 201 ,-41,0.01545, Action type: [2, 0] 
Episode: 202 ,-42,0.01545, Action type: [0 2] ,
Episode: 203 ,-43,0.01545, Action type: [0, 1] 
Episode: 204 ,-44,0.01548, Action type: [0, 1] 
Episode: 205 ,-45,0.01558, Action type: [2 2] ,
Episode: 206 ,-46,0.01558, Action type: [2 2] ,
Episode: 207 ,-47,0.01558, Action type: [1, 0] 
Episode: 208 ,-46,0.01548, Action type: [1, 0] 
Episode: 209 ,-45,0.01545, Action type: [2, 0] 
Episode: 210 ,-46,0.01545, Action type: [0, 1] 
