, Rewards,QoS violation,,
Episode: 171 ,91.22528,0.01597, Action type: [1, 2] 
Episode: 172 ,92.20932,0.01596, Action type: [1, 2] 
Episode: 173 ,93.19339,0.01593, Action type: [1, 0] 
Episode: 174 ,94.17755,0.01584, Action type: [1, 0] 
Episode: 175 ,95.16175,0.0158, Action type: [2, 0] 
Episode: 176 ,96.14596,0.01579, Action type: [2, 0] 
Episode: 177 ,97.1302,0.01576, Action type: [2, 0] 
Episode: 178 ,98.11445,0.01575, Action type: [2, 1] 
Episode: 179 ,98.09867,0.01578, Action type: [2, 1] 
Episode: 180 ,98.08281,0.01586, Action type: [2, 1] 
Episode: 181 ,98.06692,0.01589, Action type: [2, 1] 
Episode: 182 ,98.05098,0.01594, Action type: [2, 1] 
Episode: 183 ,98.03497,0.01601, Action type: [0, 1] 
Episode: 184 ,98.01894,0.01603, Action type: [0, 2] 
Episode: 185 ,99.00291,0.01603, Action type: [0, 2] 
Episode: 186 ,99.98688,0.01603, Action type: [1, 2] 
Episode: 187 ,100.97086,0.01602, Action type: [1, 2] 
Episode: 188 ,101.9549,0.01596, Action type: [1, 2] 
Episode: 189 ,102.93898,0.01592, Action type: [1, 2] 
Episode: 190 ,103.92308,0.0159, Action type: [1, 0] 
Episode: 191 ,104.90727,0.01581, Action type: [2, 0] 
Episode: 192 ,105.89148,0.01579, Action type: [2, 0] 
Episode: 193 ,106.8757,0.01578, Action type: [1 0] ,
Episode: 194 ,107.85996,0.01574, Action type: [2, 0] 
Episode: 195 ,108.84423,0.01573, Action type: [2, 0] 
Episode: 196 ,109.82851,0.01572, Action type: [2, 0] 
Episode: 197 ,110.81279,0.01572, Action type: [2, 0] 
Episode: 198 ,111.79707,0.01572, Action type: [2, 0] 
Episode: 199 ,112.78136,0.01571, Action type: [2, 0] 
Episode: 200 ,113.76566,0.0157, Action type: [2, 0] 
Episode: 201 ,114.74997,0.01569, Action type: [2, 0] 
Episode: 202 ,115.73428,0.01569, Action type: [2, 1] 
Episode: 203 ,115.71858,0.0157, Action type: [2 1] ,
Episode: 204 ,115.7028,0.01578, Action type: [0, 1] 
Episode: 205 ,115.68698,0.01582, Action type: [0, 1] 
Episode: 206 ,115.67111,0.01587, Action type: [0, 1] 
Episode: 207 ,115.65517,0.01594, Action type: [1, 2] 
Episode: 208 ,116.63929,0.01588, Action type: [1, 0] 
Episode: 209 ,117.62346,0.01583, Action type: [1, 0] 
Episode: 210 ,118.60767,0.01579, Action type: [1, 0] 
Episode: 211 ,119.59197,0.0157, Action type: [1, 0] 
Episode: 212 ,120.57631,0.01566, Action type: [1, 0] 
Episode: 213 ,121.56069,0.01562, Action type: [0 2] ,
Episode: 214 ,121.54504,0.01565, Action type: [1, 2] 
Episode: 215 ,122.52942,0.01562, Action type: [0, 1] 
Episode: 216 ,122.51377,0.01565, Action type: [0, 1] 
Episode: 217 ,122.49808,0.01569, Action type: [2 1] ,
Episode: 218 ,122.48235,0.01573, Action type: [0, 1] 
Episode: 219 ,122.46653,0.01582, Action type: [2 2] ,
Episode: 220 ,123.45071,0.01582, Action type: [0, 1] 
Episode: 221 ,123.43485,0.01586, Action type: [1, 0] 
Episode: 222 ,124.41903,0.01582, Action type: [1, 0] 
Episode: 223 ,125.4033,0.01573, Action type: [1, 0] 
Episode: 224 ,126.38761,0.01569, Action type: [1, 0] 
Episode: 225 ,127.37196,0.01565, Action type: [1, 0] 
Episode: 226 ,128.35634,0.01562, Action type: [1, 2] 
Episode: 227 ,129.34076,0.01558, Action type: [0, 2] 
Episode: 228 ,129.32517,0.01559, Action type: [0, 1] 
Episode: 229 ,129.30954,0.01563, Action type: [0, 1] 
Episode: 230 ,129.29388,0.01566, Action type: [2, 1] 
Episode: 231 ,129.27819,0.01569, Action type: [2, 1] 
Episode: 232 ,129.26246,0.01573, Action type: [2, 1] 
Episode: 233 ,129.24667,0.01579, Action type: [2, 1] 
Episode: 234 ,129.23085,0.01582, Action type: [0, 2] 
Episode: 235 ,129.21502,0.01583, Action type: [1, 2] 
Episode: 236 ,130.1992,0.01582, Action type: [0 0] ,
Episode: 237 ,131.18338,0.01582, Action type: [1, 2] 
Episode: 238 ,132.16765,0.01573, Action type: [1, 2] 
Episode: 239 ,133.15195,0.0157, Action type: [1, 0] 
Episode: 240 ,134.13629,0.01566, Action type: [2 0] ,
Episode: 241 ,135.12064,0.01565, Action type: [2, 0] 
Episode: 242 ,136.10499,0.01565, Action type: [2, 0] 
Episode: 243 ,137.08937,0.01562, Action type: [2, 1] 
Episode: 244 ,137.07372,0.01565, Action type: [2, 1] 
Episode: 245 ,137.05804,0.01568, Action type: [2, 1] 
Episode: 246 ,137.04229,0.01575, Action type: [2, 1] 
Episode: 247 ,137.0265,0.01579, Action type: [0, 1] 
Episode: 248 ,137.01066,0.01584, Action type: [0, 1] 
Episode: 249 ,136.99477,0.01589, Action type: [0, 2] 
Episode: 250 ,137.97888,0.01589, Action type: [0 0] ,
Episode: 251 ,138.96299,0.01589, Action type: [1, 0] 
Episode: 252 ,139.94715,0.01584, Action type: [1, 0] 
Episode: 253 ,140.93136,0.01579, Action type: [2, 0] 
Episode: 254 ,141.91557,0.01579, Action type: [2, 0] 
Episode: 255 ,142.89978,0.01579, Action type: [2, 1] 
Episode: 256 ,142.88395,0.01583, Action type: [0, 1] 
Episode: 257 ,142.86807,0.01588, Action type: [0, 1] 
Episode: 258 ,142.85215,0.01592, Action type: [0, 1] 
Episode: 259 ,142.8362,0.01595, Action type: [0, 2] 
Episode: 260 ,142.82024,0.01596, Action type: [0, 2] 
Episode: 261 ,143.80428,0.01596, Action type: [1, 2] 
Episode: 262 ,144.78834,0.01594, Action type: [1, 2] 
Episode: 263 ,145.77243,0.01591, Action type: [1, 2] 
Episode: 264 ,146.75656,0.01587, Action type: [1, 0] 
Episode: 265 ,147.74074,0.01582, Action type: [2, 1] 
Episode: 266 ,147.72488,0.01586, Action type: [2, 1] 
Episode: 267 ,147.70898,0.0159, Action type: [2, 1] 
Episode: 268 ,147.69305,0.01593, Action type: [2, 1] 
Episode: 269 ,147.67709,0.01596, Action type: [0, 1] 
Episode: 270 ,147.66108,0.01601, Action type: [1, 2] 
Episode: 271 ,148.64512,0.01596, Action type: [1, 2] 
Episode: 272 ,149.62918,0.01594, Action type: [2 0] ,
Episode: 273 ,150.61325,0.01593, Action type: [1, 2] 
Episode: 274 ,151.59735,0.0159, Action type: [1, 2] 
Episode: 275 ,152.58148,0.01587, Action type: [1, 2] 
Episode: 276 ,153.56566,0.01582, Action type: [0, 2] 
Episode: 277 ,153.54983,0.01583, Action type: [2, 1] 
Episode: 278 ,153.53396,0.01587, Action type: [2 2] ,
Episode: 279 ,154.51809,0.01587, Action type: [2, 1] 
Episode: 280 ,154.50217,0.01592, Action type: [2, 1] 
Episode: 281 ,154.48623,0.01594, Action type: [2, 1] 
Episode: 282 ,154.47027,0.01596, Action type: [2, 0] 
Episode: 283 ,155.45431,0.01596, Action type: [1, 0] 
Episode: 284 ,156.43838,0.01593, Action type: [1, 2] 
Episode: 285 ,157.42249,0.01589, Action type: [1, 2] 
Episode: 286 ,158.40664,0.01585, Action type: [1, 2] 
Episode: 287 ,159.39083,0.01581, Action type: [1, 2] 
Episode: 288 ,160.37505,0.01578, Action type: [1, 2] 
Episode: 289 ,161.35935,0.0157, Action type: [1, 2] 
Episode: 290 ,162.34366,0.01569, Action type: [2 0] ,
Episode: 291 ,163.328,0.01566, Action type: [2, 1] 
Episode: 292 ,163.31232,0.01568, Action type: [2, 1] 
Episode: 293 ,163.29654,0.01578, Action type: [2, 1] 
Episode: 294 ,163.28074,0.0158, Action type: [0, 1] 
Episode: 295 ,163.2649,0.01584, Action type: [0, 2] 
Episode: 296 ,163.24904,0.01586, Action type: [0, 2] 
Episode: 297 ,164.23318,0.01586, Action type: [1, 2] 
Episode: 298 ,165.21735,0.01583, Action type: [1, 2] 
Episode: 299 ,166.20153,0.01582, Action type: [1, 2] 
Episode: 300 ,167.18581,0.01572, Action type: [1, 2] 
Episode: 301 ,168.17011,0.0157, Action type: [1, 2] 
Episode: 302 ,169.15443,0.01568, Action type: [0 2] ,
Episode: 303 ,170.13875,0.01568, Action type: [0, 1] 
Episode: 304 ,170.12304,0.01571, Action type: [0, 1] 
Episode: 305 ,170.10729,0.01575, Action type: [0, 1] 
Episode: 306 ,170.09144,0.01585, Action type: [0 1] ,
Episode: 307 ,170.07555,0.01589, Action type: [2, 1] 
Episode: 308 ,170.05962,0.01593, Action type: [2, 0] 
Episode: 309 ,171.0437,0.01592, Action type: [2, 0] 
Episode: 310 ,172.0278,0.0159, Action type: [1, 0] 
Episode: 311 ,173.01194,0.01586, Action type: [1, 0] 
Episode: 312 ,173.99612,0.01582, Action type: [1, 2] 
Episode: 313 ,174.98038,0.01574, Action type: [0, 2] 
Episode: 314 ,174.96463,0.01575, Action type: [0, 2] 
Episode: 315 ,175.94888,0.01575, Action type: [0, 2] 
Episode: 316 ,176.93313,0.01575, Action type: [0, 2] 
Episode: 317 ,177.91738,0.01575, Action type: [0, 1] 
Episode: 318 ,177.90153,0.01585, Action type: [2, 1] 
Episode: 319 ,177.88564,0.01589, Action type: [2, 1] 
Episode: 320 ,177.86971,0.01593, Action type: [2, 0] 
Episode: 321 ,178.85378,0.01593, Action type: [2, 0] 
Episode: 322 ,179.83786,0.01592, Action type: [1, 2] 
Episode: 323 ,180.82197,0.01589, Action type: [1, 2] 
Episode: 324 ,181.80612,0.01585, Action type: [0, 2] 
Episode: 325 ,182.79027,0.01585, Action type: [0, 2] 
Episode: 326 ,183.77442,0.01585, Action type: [1, 2] 
Episode: 327 ,184.75866,0.01576, Action type: [1, 2] 
Episode: 328 ,185.74293,0.01573, Action type: [2, 0] 
Episode: 329 ,186.72721,0.01572, Action type: [2, 0] 
Episode: 330 ,187.7115,0.01571, Action type: [2, 0] 
Episode: 331 ,188.69579,0.01571, Action type: [2, 1] 
Episode: 332 ,188.68004,0.01575, Action type: [2, 1] 
Episode: 333 ,188.6642,0.01584, Action type: [0, 1] 
Episode: 334 ,188.64831,0.01589, Action type: [0, 1] 
Episode: 335 ,188.63238,0.01593, Action type: [1, 0] 
Episode: 336 ,189.61649,0.01589, Action type: [1, 0] 
Episode: 337 ,190.60065,0.01584, Action type: [1, 0] 
Episode: 338 ,191.5849,0.01575, Action type: [1, 0] 
Episode: 339 ,192.56919,0.01571, Action type: [1, 0] 
Episode: 340 ,193.55351,0.01568, Action type: [1, 2] 
Episode: 341 ,194.53786,0.01565, Action type: [1, 2] 
Episode: 342 ,195.52225,0.01561, Action type: [1, 2] 
Episode: 343 ,196.5067,0.01555, Action type: [0, 1] 
Episode: 344 ,196.49109,0.01561, Action type: [2, 1] 
Episode: 345 ,196.47544,0.01565, Action type: [0 1] ,
Episode: 346 ,196.45976,0.01568, Action type: [2, 1] 
Episode: 347 ,196.44405,0.01571, Action type: [2, 1] 
Episode: 348 ,196.4283,0.01575, Action type: [2, 1] 
Episode: 349 ,196.41247,0.01583, Action type: [2, 1] 
Episode: 350 ,196.39662,0.01585, Action type: [0, 2] 
Episode: 351 ,196.38075,0.01587, Action type: [1, 2] 
Episode: 352 ,197.36491,0.01584, Action type: [1, 2] 
Episode: 353 ,198.34916,0.01575, Action type: [1, 2] 
Episode: 354 ,199.33345,0.01571, Action type: [1, 2] 
Episode: 355 ,200.31777,0.01568, Action type: [1, 2] 
Episode: 356 ,201.30211,0.01566, Action type: [1, 2] 
Episode: 357 ,202.28648,0.01563, Action type: [0 0] ,
Episode: 358 ,203.27085,0.01563, Action type: [2, 1] 
Episode: 359 ,203.25519,0.01566, Action type: [2, 1] 
Episode: 360 ,203.23951,0.01568, Action type: [2, 1] 
