Episode, Rewards, QoS violation, Action type
947,497.45595,0.01506,4
948,498.44094,0.01501,4
949,499.42598,0.01496,4
950,500.41107,0.01491,4
951,501.39618,0.01489,4
952,502.38131,0.01487,4
953,503.36645,0.01486,0
954,503.35158,0.01487,0
955,503.33669,0.01489,0
956,503.32178,0.01491,0
957,503.30682,0.01496,4
958,504.29191,0.01491,4
959,505.27702,0.01489,4
960,506.26215,0.01487,4
961,507.24729,0.01486,4
962,508.23244,0.01485,5
963,509.21759,0.01485,0
964,509.20273,0.01486,1
965,510.18787,0.01486,0
966,510.173,0.01487,4
967,511.15814,0.01486,4
968,512.14329,0.01485,3
969,512.12843,0.01486,2
970,513.11358,0.01485,0
971,513.09872,0.01486,0
972,513.08385,0.01487,0
973,513.06896,0.01489,5
974,514.05407,0.01489,1
975,515.03918,0.01489,1
976,515.02427,0.01491,0
977,515.00934,0.01493,0
978,514.99436,0.01498,1
979,514.97937,0.01499,4
980,515.96443,0.01494,4
981,516.94951,0.01492,4
982,517.93461,0.0149,0
983,517.91969,0.01492,0
984,517.90475,0.01494,0
985,517.88976,0.01499,4
986,518.87482,0.01494,4
987,519.8599,0.01492,4
988,520.845,0.0149,2
989,521.83011,0.01489,3
990,521.81521,0.0149,0
991,521.80029,0.01492,0
992,521.78535,0.01494,4
993,522.77043,0.01492,4
994,523.75553,0.0149,1
995,524.74063,0.0149,1
996,524.72571,0.01492,1
997,525.71079,0.01492,1
