Episode: 158 , Rewards: 93.54842000000001 , QoS violation: 0.01586 , Action type: 0 
Episode: 159 , Rewards: 94.53256 , QoS violation: 0.01586 , Action type: 0 
Episode: 160 , Rewards: 94.51666 , QoS violation: 0.0159 , Action type: 0 
Episode: 161 , Rewards: 94.50074000000001 , QoS violation: 0.01592 , Action type: 4 
Episode: 162 , Rewards: 94.48477000000001 , QoS violation: 0.01597 , Action type: 0 
Episode: 163 , Rewards: 94.46878000000001 , QoS violation: 0.01599 , Action type: 0 
Episode: 164 , Rewards: 95.45279000000001 , QoS violation: 0.01599 , Action type: 0 
Episode: 165 , Rewards: 95.43679 , QoS violation: 0.016 , Action type: 0 
Episode: 166 , Rewards: 95.42078000000001 , QoS violation: 0.01601 , Action type: 0 
Episode: 167 , Rewards: 95.40474 , QoS violation: 0.01604 , Action type: 5 
Episode: 168 , Rewards: 96.38873000000001 , QoS violation: 0.01601 , Action type: 0 
Episode: 169 , Rewards: 96.37269 , QoS violation: 0.01604 , Action type: 0 
Episode: 170 , Rewards: 97.35665 , QoS violation: 0.01604 , Action type: 0 
Episode: 171 , Rewards: 97.3406 , QoS violation: 0.01605 , Action type: 2 
Episode: 172 , Rewards: 98.32462 , QoS violation: 0.01598 , Action type: 1 
Episode: 173 , Rewards: 98.30856999999999 , QoS violation: 0.01605 , Action type: 1 
Episode: 174 , Rewards: 98.29248999999999 , QoS violation: 0.01608 , Action type: 1 
Episode: 175 , Rewards: 98.27635 , QoS violation: 0.01614 , Action type: 1 
Episode: 176 , Rewards: 98.26017999999999 , QoS violation: 0.01617 , Action type: 1 
Episode: 177 , Rewards: 98.24396999999999 , QoS violation: 0.01621 , Action type: 3 
Episode: 178 , Rewards: 99.22779999999999 , QoS violation: 0.01617 , Action type: 3 
Episode: 179 , Rewards: 100.21166 , QoS violation: 0.01614 , Action type: 3 
Episode: 180 , Rewards: 101.19557999999999 , QoS violation: 0.01608 , Action type: 3 
Episode: 181 , Rewards: 102.17952999999999 , QoS violation: 0.01605 , Action type: 3 
Episode: 182 , Rewards: 103.16354999999999 , QoS violation: 0.01598 , Action type: 3 
Episode: 183 , Rewards: 104.14761999999999 , QoS violation: 0.01593 , Action type: 3 
Episode: 184 , Rewards: 105.13171999999999 , QoS violation: 0.0159 , Action type: 3 
Episode: 185 , Rewards: 106.11585999999998 , QoS violation: 0.01586 , Action type: 3 
Episode: 186 , Rewards: 107.10005999999998 , QoS violation: 0.0158 , Action type: 0 
Episode: 187 , Rewards: 107.08424999999998 , QoS violation: 0.01581 , Action type: 0 
Episode: 188 , Rewards: 108.06843999999998 , QoS violation: 0.01581 , Action type: 0 
Episode: 189 , Rewards: 109.05262999999998 , QoS violation: 0.01581 , Action type: 0 
Episode: 190 , Rewards: 109.03679999999999 , QoS violation: 0.01583 , Action type: 5 
Episode: 191 , Rewards: 110.02098999999998 , QoS violation: 0.01581 , Action type: 0 
Episode: 192 , Rewards: 110.00515999999999 , QoS violation: 0.01583 , Action type: 0 
Episode: 193 , Rewards: 110.98933 , QoS violation: 0.01583 , Action type: 0 
Episode: 194 , Rewards: 111.9735 , QoS violation: 0.01583 , Action type: 0 
Episode: 195 , Rewards: 111.95765 , QoS violation: 0.01585 , Action type: 2 
Episode: 196 , Rewards: 112.94183 , QoS violation: 0.01582 , Action type: 4 
Episode: 197 , Rewards: 112.92598 , QoS violation: 0.01585 , Action type: 1 
Episode: 198 , Rewards: 112.91006999999999 , QoS violation: 0.01591 , Action type: 1 
Episode: 199 , Rewards: 112.89411999999999 , QoS violation: 0.01595 , Action type: 1 
Episode: 200 , Rewards: 112.87813999999999 , QoS violation: 0.01598 , Action type: 1 
Episode: 201 , Rewards: 112.86210999999999 , QoS violation: 0.01603 , Action type: 1 
Episode: 202 , Rewards: 112.84600999999999 , QoS violation: 0.0161 , Action type: 1 
Episode: 203 , Rewards: 112.82987999999999 , QoS violation: 0.01613 , Action type: 3 
Episode: 204 , Rewards: 113.81378 , QoS violation: 0.0161 , Action type: 3 
Episode: 205 , Rewards: 114.79775 , QoS violation: 0.01603 , Action type: 3 
Episode: 206 , Rewards: 115.78177 , QoS violation: 0.01598 , Action type: 3 
Episode: 207 , Rewards: 116.76581999999999 , QoS violation: 0.01595 , Action type: 3 
Episode: 208 , Rewards: 117.74990999999999 , QoS violation: 0.01591 , Action type: 3 
Episode: 209 , Rewards: 118.73405999999999 , QoS violation: 0.01585 , Action type: 3 
Episode: 210 , Rewards: 119.71825999999999 , QoS violation: 0.0158 , Action type: 4 
Episode: 211 , Rewards: 119.70242999999999 , QoS violation: 0.01583 , Action type: 3 
Episode: 212 , Rewards: 120.68664999999999 , QoS violation: 0.01578 , Action type: 3 
Episode: 213 , Rewards: 121.67090999999999 , QoS violation: 0.01574 , Action type: 0 
Episode: 214 , Rewards: 121.65514999999999 , QoS violation: 0.01576 , Action type: 0 
Episode: 215 , Rewards: 121.63937999999999 , QoS violation: 0.01577 , Action type: 0 
Episode: 216 , Rewards: 121.62359999999998 , QoS violation: 0.01578 , Action type: 4 
Episode: 217 , Rewards: 121.60778999999998 , QoS violation: 0.01581 , Action type: 0 
Episode: 218 , Rewards: 121.59196999999998 , QoS violation: 0.01582 , Action type: 0 
Episode: 219 , Rewards: 121.57612999999998 , QoS violation: 0.01584 , Action type: 4 
Episode: 220 , Rewards: 121.56025999999997 , QoS violation: 0.01587 , Action type: 0 
Episode: 221 , Rewards: 121.54436999999997 , QoS violation: 0.01589 , Action type: 0 
Episode: 222 , Rewards: 121.52846999999997 , QoS violation: 0.0159 , Action type: 0 
Episode: 223 , Rewards: 122.51256999999997 , QoS violation: 0.0159 , Action type: 4 
Episode: 224 , Rewards: 122.49660999999996 , QoS violation: 0.01596 , Action type: 4 
Episode: 225 , Rewards: 122.48061999999996 , QoS violation: 0.01599 , Action type: 4 
Episode: 226 , Rewards: 122.46461999999995 , QoS violation: 0.016 , Action type: 4 
Episode: 227 , Rewards: 122.44857999999995 , QoS violation: 0.01604 , Action type: 4 
Episode: 228 , Rewards: 122.43247999999996 , QoS violation: 0.0161 , Action type: 1 
Episode: 229 , Rewards: 122.41634999999995 , QoS violation: 0.01613 , Action type: 4 
Episode: 230 , Rewards: 122.40017999999995 , QoS violation: 0.01617 , Action type: 4 
Episode: 231 , Rewards: 122.38397999999995 , QoS violation: 0.0162 , Action type: 4 
Episode: 232 , Rewards: 122.36773999999996 , QoS violation: 0.01624 , Action type: 3 
Episode: 233 , Rewards: 123.35153999999996 , QoS violation: 0.0162 , Action type: 4 
Episode: 234 , Rewards: 123.33531999999995 , QoS violation: 0.01622 , Action type: 2 
Episode: 235 , Rewards: 124.31911999999996 , QoS violation: 0.0162 , Action type: 2 
Episode: 236 , Rewards: 125.30294999999995 , QoS violation: 0.01617 , Action type: 2 
Episode: 237 , Rewards: 126.28683999999996 , QoS violation: 0.01611 , Action type: 2 
Episode: 238 , Rewards: 127.27073999999996 , QoS violation: 0.0161 , Action type: 2 
Episode: 239 , Rewards: 128.25469999999996 , QoS violation: 0.01604 , Action type: 0 
Episode: 240 , Rewards: 128.23864999999995 , QoS violation: 0.01605 , Action type: 0 
Episode: 241 , Rewards: 128.22257999999994 , QoS violation: 0.01607 , Action type: 0 
Episode: 242 , Rewards: 128.20649999999995 , QoS violation: 0.01608 , Action type: 0 
Episode: 243 , Rewards: 129.19041999999996 , QoS violation: 0.01608 , Action type: 0 
Episode: 244 , Rewards: 129.17431999999997 , QoS violation: 0.0161 , Action type: 0 
Episode: 245 , Rewards: 129.15820999999997 , QoS violation: 0.01611 , Action type: 0 
Episode: 246 , Rewards: 130.14209999999997 , QoS violation: 0.01611 , Action type: 0 
Episode: 247 , Rewards: 131.12598999999997 , QoS violation: 0.01611 , Action type: 3 
Episode: 248 , Rewards: 132.10992999999996 , QoS violation: 0.01606 , Action type: 3 
Episode: 249 , Rewards: 133.09389999999996 , QoS violation: 0.01603 , Action type: 2 
Episode: 250 , Rewards: 134.07789999999997 , QoS violation: 0.016 , Action type: 2 
Episode: 251 , Rewards: 135.06194999999997 , QoS violation: 0.01595 , Action type: 2 
Episode: 252 , Rewards: 136.04604999999998 , QoS violation: 0.0159 , Action type: 2 
Episode: 253 , Rewards: 137.03018999999998 , QoS violation: 0.01586 , Action type: 2 
Episode: 254 , Rewards: 138.01438999999996 , QoS violation: 0.0158 , Action type: 4 
Episode: 255 , Rewards: 137.99852999999996 , QoS violation: 0.01586 , Action type: 4 
Episode: 256 , Rewards: 137.98262999999997 , QoS violation: 0.0159 , Action type: 2 
Episode: 257 , Rewards: 138.96676999999997 , QoS violation: 0.01586 , Action type: 4 
Episode: 258 , Rewards: 138.95086999999998 , QoS violation: 0.0159 , Action type: 0 
Episode: 259 , Rewards: 138.93496 , QoS violation: 0.01591 , Action type: 4 
Episode: 260 , Rewards: 138.91901 , QoS violation: 0.01595 , Action type: 0 
Episode: 261 , Rewards: 138.90304999999998 , QoS violation: 0.01596 , Action type: 2 
Episode: 262 , Rewards: 139.88710999999998 , QoS violation: 0.01594 , Action type: 2 
Episode: 263 , Rewards: 140.8712 , QoS violation: 0.01591 , Action type: 3 
Episode: 264 , Rewards: 141.85538 , QoS violation: 0.01582 , Action type: 2 
Episode: 265 , Rewards: 142.8396 , QoS violation: 0.01578 , Action type: 0 
Episode: 266 , Rewards: 142.82380999999998 , QoS violation: 0.01579 , Action type: 2 
Episode: 267 , Rewards: 143.80803999999998 , QoS violation: 0.01577 , Action type: 2 
Episode: 268 , Rewards: 144.79228999999998 , QoS violation: 0.01575 , Action type: 2 
Episode: 269 , Rewards: 145.77657999999997 , QoS violation: 0.01571 , Action type: 2 
Episode: 270 , Rewards: 146.76094999999998 , QoS violation: 0.01563 , Action type: 2 
Episode: 271 , Rewards: 147.74534999999997 , QoS violation: 0.0156 , Action type: 3 
Episode: 272 , Rewards: 148.72984999999997 , QoS violation: 0.0155 , Action type: 4 
Episode: 273 , Rewards: 148.71425999999997 , QoS violation: 0.01559 , Action type: 4 
Episode: 274 , Rewards: 148.69863999999995 , QoS violation: 0.01562 , Action type: 4 
Episode: 275 , Rewards: 148.68292999999994 , QoS violation: 0.01571 , Action type: 4 
Episode: 276 , Rewards: 148.66717999999995 , QoS violation: 0.01575 , Action type: 4 
Episode: 277 , Rewards: 148.65141999999994 , QoS violation: 0.01576 , Action type: 4 
Episode: 278 , Rewards: 148.63563999999994 , QoS violation: 0.01578 , Action type: 4 
Episode: 279 , Rewards: 148.61981999999995 , QoS violation: 0.01582 , Action type: 4 
Episode: 280 , Rewards: 148.60391999999996 , QoS violation: 0.0159 , Action type: 2 
Episode: 281 , Rewards: 149.58809999999997 , QoS violation: 0.01582 , Action type: 2 
Episode: 282 , Rewards: 150.57231999999996 , QoS violation: 0.01578 , Action type: 2 
Episode: 283 , Rewards: 151.55655999999996 , QoS violation: 0.01576 , Action type: 2 
Episode: 284 , Rewards: 152.54080999999996 , QoS violation: 0.01575 , Action type: 2 
Episode: 285 , Rewards: 153.52509999999995 , QoS violation: 0.01571 , Action type: 2 
Episode: 286 , Rewards: 154.50947999999994 , QoS violation: 0.01562 , Action type: 2 
Episode: 287 , Rewards: 155.49389999999994 , QoS violation: 0.01558 , Action type: 2 
Episode: 288 , Rewards: 156.47839999999994 , QoS violation: 0.0155 , Action type: 2 
Episode: 289 , Rewards: 157.46292999999994 , QoS violation: 0.01547 , Action type: 0 
Episode: 290 , Rewards: 157.44743999999994 , QoS violation: 0.01549 , Action type: 4 
Episode: 291 , Rewards: 157.43193999999994 , QoS violation: 0.0155 , Action type: 0 
Episode: 292 , Rewards: 157.41641999999993 , QoS violation: 0.01552 , Action type: 5 
Episode: 293 , Rewards: 158.40091999999993 , QoS violation: 0.0155 , Action type: 5 
Episode: 294 , Rewards: 159.38541999999993 , QoS violation: 0.0155 , Action type: 5 
Episode: 295 , Rewards: 160.36992999999993 , QoS violation: 0.01549 , Action type: 2 
Episode: 296 , Rewards: 161.35445999999993 , QoS violation: 0.01547 , Action type: 2 
Episode: 297 , Rewards: 162.33902999999992 , QoS violation: 0.01543 , Action type: 3 
Episode: 298 , Rewards: 163.32363999999993 , QoS violation: 0.01539 , Action type: 2 
Episode: 299 , Rewards: 164.30828999999991 , QoS violation: 0.01535 , Action type: 2 
Episode: 300 , Rewards: 165.29298999999992 , QoS violation: 0.0153 , Action type: 0 
Episode: 301 , Rewards: 165.27767999999992 , QoS violation: 0.01531 , Action type: 0 
Episode: 302 , Rewards: 165.26235999999992 , QoS violation: 0.01532 , Action type: 3 
Episode: 303 , Rewards: 166.2471099999999 , QoS violation: 0.01525 , Action type: 5 
Episode: 304 , Rewards: 167.2318699999999 , QoS violation: 0.01524 , Action type: 5 
Episode: 305 , Rewards: 168.2166399999999 , QoS violation: 0.01523 , Action type: 5 
