,Rewards,QoS violation,
Episode: 199 ,112.89412,0.01595, Action type: 1 
Episode: 200 ,112.87814,0.01598, Action type: 1 
Episode: 201 ,112.86211,0.01603, Action type: 1 
Episode: 202 ,112.84601,0.0161, Action type: 1 
Episode: 203 ,112.82988,0.01613, Action type: 3 
Episode: 204 ,113.81378,0.0161, Action type: 3 
Episode: 205 ,114.79775,0.01603, Action type: 3 
Episode: 206 ,115.78177,0.01598, Action type: 3 
Episode: 207 ,116.76582,0.01595, Action type: 3 
Episode: 208 ,117.74991,0.01591, Action type: 3 
Episode: 209 ,118.73406,0.01585, Action type: 3 
Episode: 210 ,119.71826,0.0158, Action type: 4 
Episode: 211 ,119.70243,0.01583, Action type: 3 
Episode: 212 ,120.68665,0.01578, Action type: 3 
Episode: 213 ,121.67091,0.01574, Action type: 0 
Episode: 214 ,121.65515,0.01576, Action type: 0 
Episode: 215 ,121.63938,0.01577, Action type: 0 
Episode: 216 ,121.6236,0.01578, Action type: 4 
Episode: 217 ,121.60779,0.01581, Action type: 0 
Episode: 218 ,121.59197,0.01582, Action type: 0 
Episode: 219 ,121.57613,0.01584, Action type: 4 
Episode: 220 ,121.56026,0.01587, Action type: 0 
Episode: 221 ,121.54437,0.01589, Action type: 0 
Episode: 222 ,121.52847,0.0159, Action type: 0 
Episode: 223 ,122.51257,0.0159, Action type: 4 
Episode: 224 ,122.49661,0.01596, Action type: 4 
Episode: 225 ,122.48062,0.01599, Action type: 4 
Episode: 226 ,122.46462,0.016, Action type: 4 
Episode: 227 ,122.44858,0.01604, Action type: 4 
Episode: 228 ,122.43248,0.0161, Action type: 1 
Episode: 229 ,122.41635,0.01613, Action type: 4 
Episode: 230 ,122.40018,0.01617, Action type: 4 
Episode: 231 ,122.38398,0.0162, Action type: 4 
Episode: 232 ,122.36774,0.01624, Action type: 3 
Episode: 233 ,123.35154,0.0162, Action type: 4 
Episode: 234 ,123.33532,0.01622, Action type: 2 
Episode: 235 ,124.31912,0.0162, Action type: 2 
Episode: 236 ,125.30295,0.01617, Action type: 2 
Episode: 237 ,126.28684,0.01611, Action type: 2 
Episode: 238 ,127.27074,0.0161, Action type: 2 
Episode: 239 ,128.2547,0.01604, Action type: 0 
Episode: 240 ,128.23865,0.01605, Action type: 0 
Episode: 241 ,128.22258,0.01607, Action type: 0 
Episode: 242 ,128.2065,0.01608, Action type: 0 
Episode: 243 ,129.19042,0.01608, Action type: 0 
Episode: 244 ,129.17432,0.0161, Action type: 0 
Episode: 245 ,129.15821,0.01611, Action type: 0 
Episode: 246 ,130.1421,0.01611, Action type: 0 
Episode: 247 ,131.12599,0.01611, Action type: 3 
Episode: 248 ,132.10993,0.01606, Action type: 3 
Episode: 249 ,133.0939,0.01603, Action type: 2 
Episode: 250 ,134.0779,0.016, Action type: 2 
Episode: 251 ,135.06195,0.01595, Action type: 2 
Episode: 252 ,136.04605,0.0159, Action type: 2 
Episode: 253 ,137.03019,0.01586, Action type: 2 
Episode: 254 ,138.01439,0.0158, Action type: 4 
Episode: 255 ,137.99853,0.01586, Action type: 4 
Episode: 256 ,137.98263,0.0159, Action type: 2 
Episode: 257 ,138.96677,0.01586, Action type: 4 
Episode: 258 ,138.95087,0.0159, Action type: 0 
Episode: 259 ,138.93496,0.01591, Action type: 4 
Episode: 260 ,138.91901,0.01595, Action type: 0 
Episode: 261 ,138.90305,0.01596, Action type: 2 
Episode: 262 ,139.88711,0.01594, Action type: 2 
Episode: 263 ,140.8712,0.01591, Action type: 3 
Episode: 264 ,141.85538,0.01582, Action type: 2 
Episode: 265 ,142.8396,0.01578, Action type: 0 
Episode: 266 ,142.82381,0.01579, Action type: 2 
Episode: 267 ,143.80804,0.01577, Action type: 2 
Episode: 268 ,144.79229,0.01575, Action type: 2 
Episode: 269 ,145.77658,0.01571, Action type: 2 
Episode: 270 ,146.76095,0.01563, Action type: 2 
Episode: 271 ,147.74535,0.0156, Action type: 3 
Episode: 272 ,148.72985,0.0155, Action type: 4 
Episode: 273 ,148.71426,0.01559, Action type: 4 
Episode: 274 ,148.69864,0.01562, Action type: 4 
Episode: 275 ,148.68293,0.01571, Action type: 4 
Episode: 276 ,148.66718,0.01575, Action type: 4 
Episode: 277 ,148.65142,0.01576, Action type: 4 
Episode: 278 ,148.63564,0.01578, Action type: 4 
Episode: 279 ,148.61982,0.01582, Action type: 4 
Episode: 280 ,148.60392,0.0159, Action type: 2 
Episode: 281 ,149.5881,0.01582, Action type: 2 
Episode: 282 ,150.57232,0.01578, Action type: 2 
Episode: 283 ,151.55656,0.01576, Action type: 2 
Episode: 284 ,152.54081,0.01575, Action type: 2 
Episode: 285 ,153.5251,0.01571, Action type: 2 
Episode: 286 ,154.50948,0.01562, Action type: 2 
Episode: 287 ,155.4939,0.01558, Action type: 2 
Episode: 288 ,156.4784,0.0155, Action type: 2 
Episode: 289 ,157.46293,0.01547, Action type: 0 
Episode: 290 ,157.44744,0.01549, Action type: 4 
Episode: 291 ,157.43194,0.0155, Action type: 0 
Episode: 292 ,157.41642,0.01552, Action type: 5 
Episode: 293 ,158.40092,0.0155, Action type: 5 
Episode: 294 ,159.38542,0.0155, Action type: 5 
Episode: 295 ,160.36993,0.01549, Action type: 2 
Episode: 296 ,161.35446,0.01547, Action type: 2 
Episode: 297 ,162.33903,0.01543, Action type: 3 
Episode: 298 ,163.32364,0.01539, Action type: 2 
Episode: 299 ,164.30829,0.01535, Action type: 2 
Episode: 300 ,165.29299,0.0153, Action type: 0 
Episode: 301 ,165.27768,0.01531, Action type: 0 
Episode: 302 ,165.26236,0.01532, Action type: 3 
Episode: 303 ,166.24711,0.01525, Action type: 5 
Episode: 304 ,167.23187,0.01524, Action type: 5 
Episode: 305 ,168.21664,0.01523, Action type: 5 
Episode: 306 ,169.20141,0.01523, Action type: 5 
Episode: 307 ,170.1862,0.01521, Action type: 5 
Episode: 308 ,171.17099,0.01521, Action type: 5 
Episode: 309 ,172.15579,0.0152, Action type: 2 
Episode: 310 ,173.14061,0.01518, Action type: 2 
Episode: 311 ,174.12549,0.01512, Action type: 2 
Episode: 312 ,175.1104,0.01509, Action type: 2 
Episode: 313 ,176.09535,0.01505, Action type: 2 
Episode: 314 ,177.08033,0.01502, Action type: 1 
Episode: 315 ,177.06527,0.01506, Action type: 4 
