, Rewards,QoS violation,,
Episode: 40 ,29.38195,0.01553, Action type: [1, 0] 
Episode: 41 ,30.36645,0.0155, Action type: [1, 0] 
Episode: 42 ,31.35099,0.01546, Action type: [1, 0] 
Episode: 43 ,32.33555,0.01544, Action type: [1, 0] 
Episode: 44 ,33.32017,0.01538, Action type: [1, 0] 
Episode: 45 ,34.30484,0.01533, Action type: [1, 2] 
Episode: 46 ,35.28957,0.01527, Action type: [1, 2] 
Episode: 47 ,36.27434,0.01523, Action type: [0, 2] 
Episode: 48 ,36.25907,0.01527, Action type: [1 2] ,
Episode: 49 ,37.24384,0.01523, Action type: [0, 2] 
Episode: 50 ,37.2286,0.01524, Action type: [0, 2] 
Episode: 51 ,37.21335,0.01525, Action type: [0, 2] 
Episode: 52 ,38.1981,0.01525, Action type: [0, 2] 
Episode: 53 ,38.18284,0.01526, Action type: [0, 2] 
Episode: 54 ,39.16758,0.01526, Action type: [1 0] ,
Episode: 55 ,40.15238,0.0152, Action type: [2, 0] 
Episode: 56 ,41.13718,0.0152, Action type: [2, 0] 
Episode: 57 ,42.12199,0.01519, Action type: [2, 0] 
Episode: 58 ,43.1068,0.01519, Action type: [2 0] ,
Episode: 59 ,44.09162,0.01518, Action type: [2, 0] 
Episode: 60 ,45.07645,0.01517, Action type: [2, 0] 
Episode: 61 ,46.06128,0.01517, Action type: [1, 0] 
Episode: 62 ,47.04615,0.01513, Action type: [1 0] ,
Episode: 63 ,48.03106,0.01509, Action type: [1, 2] 
Episode: 64 ,49.01602,0.01504, Action type: [1 2] ,
Episode: 65 ,50.00098,0.01504, Action type: [0, 2] 
Episode: 66 ,49.98593,0.01505, Action type: [2 1] ,
Episode: 67 ,50.97088,0.01505, Action type: [0, 1] 
Episode: 68 ,50.95578,0.0151, Action type: [0, 1] 
Episode: 69 ,50.94064,0.01514, Action type: [0, 1] 
Episode: 70 ,50.92546,0.01518, Action type: [0, 1] 
Episode: 71 ,50.91022,0.01524, Action type: [1, 0] 
Episode: 72 ,51.89504,0.01518, Action type: [1, 0] 
Episode: 73 ,52.8799,0.01514, Action type: [1, 0] 
Episode: 74 ,53.8648,0.0151, Action type: [2, 0] 
Episode: 75 ,54.84971,0.01509, Action type: [2, 0] 
Episode: 76 ,55.83462,0.01509, Action type: [2, 0] 
Episode: 77 ,56.81957,0.01505, Action type: [2, 1] 
Episode: 78 ,56.80449,0.01508, Action type: [0, 1] 
Episode: 79 ,56.78937,0.01512, Action type: [0, 1] 
Episode: 80 ,56.7742,0.01517, Action type: [0, 2] 
Episode: 81 ,56.75902,0.01518, Action type: [0, 2] 
Episode: 82 ,56.7438,0.01522, Action type: [0, 2] 
Episode: 83 ,57.72858,0.01522, Action type: [1, 2] 
Episode: 84 ,58.7134,0.01518, Action type: [1, 0] 
Episode: 85 ,59.69826,0.01514, Action type: [2, 0] 
Episode: 86 ,60.68313,0.01513, Action type: [0 2] ,
Episode: 87 ,60.66799,0.01514, Action type: [2, 0] 
Episode: 88 ,61.65286,0.01513, Action type: [2, 0] 
Episode: 89 ,62.63773,0.01513, Action type: [2, 0] 
Episode: 90 ,63.62264,0.01509, Action type: [1, 0] 
Episode: 91 ,64.60759,0.01505, Action type: [1, 0] 
Episode: 92 ,65.59259,0.015, Action type: [1, 2] 
Episode: 93 ,65.57756,0.01503, Action type: [2 0] ,
Episode: 94 ,66.56257,0.01499, Action type: [0, 2] 
Episode: 95 ,66.54754,0.01503, Action type: [0, 1] 
Episode: 96 ,66.5325,0.01504, Action type: [0, 1] 
