Episode: 121 , Rewards: 59.00755999999997 , QoS violation: 0.01673 , Action type: 2 
Episode: 122 , Rewards: 59.99085999999997 , QoS violation: 0.0167 , Action type: 1 
Episode: 123 , Rewards: 59.97412999999997 , QoS violation: 0.01673 , Action type: 3 
Episode: 124 , Rewards: 59.957379999999965 , QoS violation: 0.01675 , Action type: 1 
Episode: 125 , Rewards: 59.94059999999997 , QoS violation: 0.01678 , Action type: 2 
Episode: 126 , Rewards: 60.923869999999965 , QoS violation: 0.01673 , Action type: 4 
Episode: 127 , Rewards: 61.90717999999997 , QoS violation: 0.01669 , Action type: 4 
Episode: 128 , Rewards: 62.89051999999997 , QoS violation: 0.01666 , Action type: 4 
Episode: 129 , Rewards: 63.87391999999997 , QoS violation: 0.0166 , Action type: 5 
Episode: 130 , Rewards: 64.85731999999997 , QoS violation: 0.0166 , Action type: 4 
Episode: 131 , Rewards: 65.84078999999997 , QoS violation: 0.01653 , Action type: 4 
Episode: 132 , Rewards: 66.82428999999998 , QoS violation: 0.0165 , Action type: 4 
Episode: 133 , Rewards: 67.80782999999998 , QoS violation: 0.01646 , Action type: 4 
Episode: 134 , Rewards: 68.79140999999998 , QoS violation: 0.01642 , Action type: 4 
Episode: 135 , Rewards: 69.77506999999999 , QoS violation: 0.01634 , Action type: 4 
Episode: 136 , Rewards: 70.75877999999999 , QoS violation: 0.01629 , Action type: 5 
Episode: 137 , Rewards: 71.74251999999998 , QoS violation: 0.01626 , Action type: 5 
Episode: 138 , Rewards: 72.72626999999999 , QoS violation: 0.01625 , Action type: 5 
Episode: 139 , Rewards: 73.71002999999999 , QoS violation: 0.01624 , Action type: 3 
Episode: 140 , Rewards: 73.69373999999999 , QoS violation: 0.01629 , Action type: 5 
Episode: 141 , Rewards: 74.67746999999999 , QoS violation: 0.01627 , Action type: 5 
Episode: 142 , Rewards: 75.66123999999999 , QoS violation: 0.01623 , Action type: 5 
Episode: 143 , Rewards: 76.64501 , QoS violation: 0.01623 , Action type: 2 
Episode: 144 , Rewards: 77.62883 , QoS violation: 0.01618 , Action type: 2 
Episode: 145 , Rewards: 78.61267 , QoS violation: 0.01616 , Action type: 2 
Episode: 146 , Rewards: 79.59655 , QoS violation: 0.01612 , Action type: 1 
Episode: 147 , Rewards: 80.58042999999999 , QoS violation: 0.01612 , Action type: 2 
Episode: 148 , Rewards: 81.56430999999999 , QoS violation: 0.01612 , Action type: 4 
Episode: 149 , Rewards: 82.54825 , QoS violation: 0.01606 , Action type: 4 
Episode: 150 , Rewards: 83.53223 , QoS violation: 0.01602 , Action type: 4 
Episode: 151 , Rewards: 84.51629 , QoS violation: 0.01594 , Action type: 5 
Episode: 152 , Rewards: 85.50036 , QoS violation: 0.01593 , Action type: 4 
Episode: 153 , Rewards: 86.48448 , QoS violation: 0.01588 , Action type: 4 
Episode: 154 , Rewards: 87.46864000000001 , QoS violation: 0.01584 , Action type: 4 
Episode: 155 , Rewards: 88.45282 , QoS violation: 0.01582 , Action type: 1 
Episode: 156 , Rewards: 89.437 , QoS violation: 0.01582 , Action type: 2 
Episode: 157 , Rewards: 90.42123 , QoS violation: 0.01577 , Action type: 2 
Episode: 158 , Rewards: 91.40548 , QoS violation: 0.01575 , Action type: 5 
Episode: 159 , Rewards: 92.38976 , QoS violation: 0.01572 , Action type: 5 
Episode: 160 , Rewards: 93.37405 , QoS violation: 0.01571 , Action type: 0 
Episode: 161 , Rewards: 93.35829 , QoS violation: 0.01576 , Action type: 0 
Episode: 162 , Rewards: 93.34246 , QoS violation: 0.01583 , Action type: 0 
Episode: 163 , Rewards: 93.32661 , QoS violation: 0.01585 , Action type: 2 
Episode: 164 , Rewards: 94.31077 , QoS violation: 0.01584 , Action type: 0 
Episode: 165 , Rewards: 94.29491 , QoS violation: 0.01586 , Action type: 0 
Episode: 166 , Rewards: 94.27901 , QoS violation: 0.0159 , Action type: 0 
Episode: 167 , Rewards: 94.26307 , QoS violation: 0.01594 , Action type: 0 
Episode: 168 , Rewards: 94.24704 , QoS violation: 0.01603 , Action type: 5 
Episode: 169 , Rewards: 95.23103 , QoS violation: 0.01601 , Action type: 4 
Episode: 170 , Rewards: 96.21511000000001 , QoS violation: 0.01592 , Action type: 1 
Episode: 171 , Rewards: 96.19917000000001 , QoS violation: 0.01594 , Action type: 4 
Episode: 172 , Rewards: 97.18327000000001 , QoS violation: 0.0159 , Action type: 4 
Episode: 173 , Rewards: 98.16741 , QoS violation: 0.01586 , Action type: 1 
Episode: 174 , Rewards: 98.15152 , QoS violation: 0.01589 , Action type: 0 
Episode: 175 , Rewards: 98.13559000000001 , QoS violation: 0.01593 , Action type: 2 
Episode: 176 , Rewards: 99.11970000000001 , QoS violation: 0.01589 , Action type: 2 
Episode: 177 , Rewards: 100.10382000000001 , QoS violation: 0.01588 , Action type: 1 
Episode: 178 , Rewards: 101.08794000000002 , QoS violation: 0.01588 , Action type: 2 
Episode: 179 , Rewards: 102.07212000000001 , QoS violation: 0.01582 , Action type: 2 
Episode: 180 , Rewards: 103.05635000000001 , QoS violation: 0.01577 , Action type: 2 
Episode: 181 , Rewards: 104.04062 , QoS violation: 0.01573 , Action type: 1 
Episode: 182 , Rewards: 104.02487 , QoS violation: 0.01575 , Action type: 1 
Episode: 183 , Rewards: 105.00912000000001 , QoS violation: 0.01575 , Action type: 2 
Episode: 184 , Rewards: 105.99346000000001 , QoS violation: 0.01566 , Action type: 0 
Episode: 185 , Rewards: 105.97771000000002 , QoS violation: 0.01575 , Action type: 0 
Episode: 186 , Rewards: 105.96192000000002 , QoS violation: 0.01579 , Action type: 0 
Episode: 187 , Rewards: 105.94608000000002 , QoS violation: 0.01584 , Action type: 0 
Episode: 188 , Rewards: 105.93017000000002 , QoS violation: 0.01591 , Action type: 0 
Episode: 189 , Rewards: 105.91424000000002 , QoS violation: 0.01593 , Action type: 0 
Episode: 190 , Rewards: 105.89827000000002 , QoS violation: 0.01597 , Action type: 0 
Episode: 191 , Rewards: 105.88226000000003 , QoS violation: 0.01601 , Action type: 2 
Episode: 192 , Rewards: 106.86627000000003 , QoS violation: 0.01599 , Action type: 2 
Episode: 193 , Rewards: 107.85031000000002 , QoS violation: 0.01596 , Action type: 2 
Episode: 194 , Rewards: 108.83436000000002 , QoS violation: 0.01595 , Action type: 2 
Episode: 195 , Rewards: 109.81846000000002 , QoS violation: 0.0159 , Action type: 2 
Episode: 196 , Rewards: 110.80260000000001 , QoS violation: 0.01586 , Action type: 2 
Episode: 197 , Rewards: 111.78678000000001 , QoS violation: 0.01582 , Action type: 2 
Episode: 198 , Rewards: 112.77103000000001 , QoS violation: 0.01575 , Action type: 1 
Episode: 199 , Rewards: 112.75527000000001 , QoS violation: 0.01576 , Action type: 1 
Episode: 200 , Rewards: 113.73951000000001 , QoS violation: 0.01576 , Action type: 4 
Episode: 201 , Rewards: 114.72379000000001 , QoS violation: 0.01572 , Action type: 4 
Episode: 202 , Rewards: 115.70811 , QoS violation: 0.01568 , Action type: 4 
Episode: 203 , Rewards: 116.69246000000001 , QoS violation: 0.01565 , Action type: 0 
Episode: 204 , Rewards: 116.67678000000001 , QoS violation: 0.01568 , Action type: 1 
Episode: 205 , Rewards: 117.6611 , QoS violation: 0.01568 , Action type: 1 
Episode: 206 , Rewards: 117.64541 , QoS violation: 0.01569 , Action type: 0 
Episode: 207 , Rewards: 117.62968 , QoS violation: 0.01573 , Action type: 0 
Episode: 208 , Rewards: 117.61390999999999 , QoS violation: 0.01577 , Action type: 0 
Episode: 209 , Rewards: 117.59804999999999 , QoS violation: 0.01586 , Action type: 2 
Episode: 210 , Rewards: 118.58227999999998 , QoS violation: 0.01577 , Action type: 3 
Episode: 211 , Rewards: 118.56641999999998 , QoS violation: 0.01586 , Action type: 0 
Episode: 212 , Rewards: 118.55051999999998 , QoS violation: 0.0159 , Action type: 5 
Episode: 213 , Rewards: 119.53462999999998 , QoS violation: 0.01589 , Action type: 2 
